Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.7877835050225257,33.45,33.654
2,0.9300064992904662,68.96666666666667,50.147000000000006
3,0.6360540583729744,80.075,62.314
4,0.5314720364287495,82.82000000000001,73.201
5,0.38750127330422396,87.31666666666666,84.13300000000001
6,0.3208578459918499,89.91428571428571,84.147
7,0.2743673485059004,91.075,88.811
8,0.24810995891690252,92.45555555555555,88.38199999999999
9,0.289726252364926,91.12,89.951
10,0.2500011216745608,92.37272727272727,90.168
