Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.726049281656742,36.3,33.28
2,0.6776954925060272,78.46666666666667,57.814
3,0.3549326390028,89.625,68.1
4,0.3353161493316293,89.67999999999999,73.16600000000001
5,0.20777983933687208,93.46666666666667,82.09400000000001
6,0.18050890771502795,94.47142857142858,86.901
7,0.14366322553788238,95.7625,89.451
8,0.17952734920506672,96.14444444444445,87.142
9,0.23531154363299717,92.64,77.652
10,0.15538335579137003,95.0909090909091,86.80499999999999
