Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.7401922583580016,36.65,28.881
2,0.6330057239532471,79.43333333333334,56.922000000000004
3,0.3735668521906648,88.125,70.059
4,0.27857537809759375,90.94,76.296
5,0.21285897720605132,93.56666666666665,85.083
6,0.17631176825274114,94.22857142857143,85.368
7,0.14483249388062033,95.4,87.527
8,0.2178736259664098,95.77777777777777,87.999
9,0.2510284126910846,92.28999999999999,84.682
10,0.16919983422590623,94.9,91.55199999999999
