Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.6893977664411068,38.05,28.353
2,0.6696803805232048,78.76666666666667,59.875
3,0.3621516102126666,88.25,67.536
4,0.2960723756812512,90.52000000000001,78.80199999999999
5,0.2454396967589855,92.51666666666667,81.19300000000001
6,0.20454381660304283,93.85714285714286,85.309
7,0.16392817545968746,94.9375,88.36
8,0.17515588232626514,96.08888888888887,84.979
9,0.21066807762254025,93.63,85.199
10,0.15715848312376893,95.52727272727273,87.404
