Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.9927950471639633,27.7,29.082
2,1.0786775517463685,63.83333333333333,54.666999999999994
3,0.5545221602278096,82.075,66.913
4,0.3771769802086055,87.52000000000001,79.596
5,0.25465658225119114,92.06666666666666,85.99
6,0.20152943686328145,93.45714285714286,89.942
7,0.15850161928683515,95.075,89.481
8,0.15998312696814532,95.4888888888889,91.84400000000001
9,0.17492276460397982,94.6,90.429
10,0.13943028082139788,95.75454545454545,91.134
