Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.1574681222438814,24.35,16.528
2,1.4532423877716065,52.833333333333336,42.349000000000004
3,1.0729505683694567,65.4,62.911
4,0.857977920025587,71.46000000000001,69.413
5,0.6402066493034363,79.11666666666667,78.412
6,0.5426756046035073,82.15714285714286,84.747
7,0.45109627074920217,85.4625,90.00399999999999
8,0.42640815009673433,86.45555555555555,89.15700000000001
9,0.40529513033106923,86.81,90.78
10,0.34780947698487175,89.13636363636364,92.878
