Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.3218543767929076,21.0,19.165
2,1.7459184312820433,42.46666666666666,37.545
3,1.2288209353174482,58.425,60.851
4,0.974959821999073,67.55999999999999,72.02799999999999
5,0.7377425795793534,75.11666666666666,82.21700000000001
6,0.5981062393296849,80.1,84.89500000000001
7,0.484128303023485,83.9875,88.138
8,0.4755611341694991,85.76666666666667,84.887
9,0.4854283062275499,84.19,89.036
10,0.36777725579837955,88.38181818181818,91.172
