Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,2.5489911437034607,15.5,19.48
1,2,1.9548696041107176,35.0,35.07
1,3,1.6916491644723075,43.25,54.99
1,4,1.254094585776329,57.4,71.99
1,5,0.9851995646953584,67.0,72.28
1,6,0.8086872209202159,71.57142857142857,69.63
1,7,0.6262315534628354,80.0,86.47
1,8,0.537037972609202,82.88888888888889,80.3
1,9,0.7198925111442804,78.7,70.56
1,10,0.49559921440151,84.0909090909091,88.53
2,1,2.428284853696823,20.0,14.33
2,2,2.083724927902222,28.33333333333333,34.73
2,3,1.7016218900680542,43.5,44.73
2,4,1.335833191871643,55.6,67.31
2,5,1.0266843855381012,68.16666666666667,49.74
2,6,0.829865883697163,75.0,70.35
2,7,0.6673141282338363,77.75,87.35
2,8,0.6369158804416657,80.77777777777777,48.55
2,9,0.6381211988627911,80.8,84.18
2,10,0.5875536269611783,80.9090909090909,88.95
3,1,2.3056204319000244,15.0,11.89
3,2,2.1492636442184447,30.33333333333333,26.47
3,3,1.6116476569856917,45.0,38.99
3,4,1.3354482352733612,56.0,44.68
3,5,0.9353391826152802,68.16666666666667,71.45
3,6,0.7891386368057944,73.71428571428571,73.59
3,7,0.6107962589997512,79.375,79.1
3,8,0.6632583995660146,83.44444444444444,90.25
3,9,0.667163472622633,78.9,85.6
3,10,0.4891361859109666,84.0909090909091,79.03
4,1,2.450729548931122,18.5,19.25
4,2,2.1066160678863524,27.666666666666668,13.12
4,3,1.7428980554853166,43.25,19.74
4,4,1.433733195066452,51.8,47.18
4,5,1.1177728056907654,60.833333333333336,43.22
4,6,0.8935907103798606,71.0,58.77
4,7,0.6357915424383603,80.5,84.87
4,8,0.6429870059092839,79.33333333333333,84.06
4,9,0.5651667825877666,80.5,86.26
4,10,0.4582382481959131,84.72727272727273,79.89
5,1,2.444878399372101,14.5,13.23
5,2,2.1737871885299684,27.666666666666668,24.02
5,3,1.8211028916495189,40.75,45.06
5,4,1.322969228029251,54.6,51.44
5,5,1.1145585238933564,63.833333333333336,74.89
5,6,0.8230804096568715,70.85714285714286,75.58
5,7,0.5940739053946275,80.0,90.72
5,8,0.471486921608448,82.33333333333333,74.9
5,9,0.5404563769698143,83.5,90.86
5,10,0.4340918279356426,85.81818181818181,87.74
6,1,2.2893185019493103,16.5,22.73
6,2,2.0288044452667235,31.33333333333333,21.82
6,3,1.7645762647901262,43.5,42.49
6,4,1.4407937228679657,50.0,52.37
6,5,1.037653148174286,63.0,63.85
6,6,0.8803022828969088,71.14285714285714,70.64
6,7,0.6311632440640376,78.625,85.06
6,8,0.7703667958577474,79.33333333333333,76.76
6,9,0.5600565988570452,82.5,85.22
6,10,0.4566669331656562,85.18181818181819,87.3
7,1,2.457271695137024,17.5,14.42
7,2,2.080456852912903,29.0,16.37
7,3,1.78262540272304,40.5,33.63
7,4,1.406955435872078,52.2,56.76
7,5,0.9907503604888916,66.0,67.23
7,6,0.7343230491334741,72.85714285714286,75.57
7,7,0.5925388382031367,81.25,80.57
7,8,0.5436007559299469,82.55555555555556,87.63
7,9,0.6207107491791248,79.3,74.9
7,10,0.4810196252332793,83.9090909090909,87.08
8,1,2.4258867502212524,17.0,18.08
8,2,2.017514538764954,31.33333333333333,33.99
8,3,1.6073331321988786,45.0,39.34
8,4,1.3351741880178452,53.4,51.06
8,5,0.9547423183918,68.16666666666667,59.66
8,6,0.7907109043814919,72.42857142857143,72.9
8,7,0.632898883177684,79.5,87.08
8,8,0.5516198515892029,82.0,79.75
8,9,0.7633907962590456,76.6,62.39
8,10,0.6119988511006037,79.0,81.61
9,1,2.1958167254924774,12.5,18.94
9,2,2.0076764583587647,33.0,36.28
9,3,1.763436283384051,43.5,45.38
9,4,1.4261791706085205,50.6,25.23
9,5,1.0063442409038543,66.66666666666667,65.07
9,6,0.8808329430493441,71.28571428571429,83.13
9,7,0.6734683353167313,76.5,63.31
9,8,0.7481361627578735,78.77777777777777,86.45
9,9,0.6998920999467373,77.6,88.82
9,10,0.5194162180026373,82.18181818181819,86.74
10,1,2.439022183418274,12.5,21.9
10,2,2.021654200553894,31.0,34.03
10,3,1.5163331542696272,46.75,51.51
10,4,1.231308974325657,59.4,46.81
10,5,0.8575543105602265,70.5,70.87
10,6,0.7910042161291296,73.14285714285714,52.83
10,7,0.584764288021968,78.875,71.29
10,8,0.680103600025177,80.44444444444444,65.12
10,9,0.6575839910656214,78.2,74.65
10,10,0.5139750589927038,84.63636363636364,89.61
