Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.9897350132465363,28.0,33.489
2,1.0500767195224763,66.0,56.06700000000001
3,0.5469570496252605,82.275,73.549
4,0.3910037958994508,87.17999999999999,80.089
5,0.24465864393860098,92.36666666666667,85.32000000000001
6,0.21425343787466936,93.4,87.849
7,0.1604392870974082,94.75,90.977
8,0.15881160863985613,95.78888888888888,87.49
9,0.1861982851522043,94.12,88.252
10,0.15884945191856883,95.68181818181819,92.338
