Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.3267132222652434,18.45,17.346
2,2.114048283100128,30.43333333333333,29.514999999999997
3,1.6260917714663914,45.175,44.17
4,1.2321165338158608,57.52,57.132000000000005
5,0.8645890519022942,69.78333333333333,66.736
6,0.648594530062242,78.05714285714285,77.19300000000001
7,0.5292133707266587,82.8625,77.852
8,0.5321883981426556,84.95555555555555,79.672
9,0.5597792774438858,82.03999999999999,81.182
10,0.3863891091404689,87.66363636363636,84.186
