Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.973850578069687,28.0,44.02
1,2,0.6505934357643127,79.0,54.57
1,3,0.3572675117424556,88.25,70.26
1,4,0.2827442716807127,90.0,79.13
1,5,0.1833520822227001,94.66666666666669,83.74
1,6,0.1329719886522401,96.14285714285714,87.62
1,7,0.1201919523569253,96.5,87.07
1,8,0.1378586014111836,96.55555555555556,86.78
1,9,0.1413095644675195,96.3,85.11
1,10,0.1785098679053286,95.54545454545456,91.48
2,1,1.7823173105716703,33.5,48.64
2,2,0.6761500716209412,77.66666666666667,53.6
2,3,0.3142601549625397,90.0,65.09
2,4,0.2130048666149377,94.0,77.65
2,5,0.2062948778271675,94.16666666666669,82.81
2,6,0.1694630248980088,94.85714285714286,85.0
2,7,0.1050198251524796,96.25,85.92
2,8,0.333005560003221,96.88888888888889,85.09
2,9,0.2607543326448649,92.0,79.37
2,10,0.198174143417014,93.9090909090909,76.57
3,1,1.639795795083046,37.0,20.66
3,2,0.668040668964386,76.0,51.39
3,3,0.3712946453264781,88.0,71.91
3,4,0.2984298691153526,90.4,80.1
3,5,0.2326511692255735,93.5,81.52
3,6,0.1718022295019843,94.14285714285714,65.8
3,7,0.1670345578056115,94.875,89.78
3,8,0.1846294364581505,96.88888888888889,87.25
3,9,0.1891038883477449,94.0,75.64
3,10,0.1735196575108501,95.0909090909091,90.4
4,1,1.8785771131515503,37.5,26.68
4,2,0.7770183682441711,74.33333333333333,46.68
4,3,0.3738837965897151,88.5,75.84
4,4,0.2600301057100296,90.8,71.2
4,5,0.1732413433492183,95.33333333333331,83.84
4,6,0.1319708062166517,96.28571428571428,89.85
4,7,0.0900535877579106,97.5,88.92
4,8,0.134203386803468,96.11111111111111,88.75
4,9,0.2029062206856906,93.8,68.44
4,10,0.2591446658803357,93.63636363636364,91.43
5,1,1.6611207723617554,40.5,34.03
5,2,0.5452738881111145,82.66666666666667,68.63
5,3,0.2767523995467594,93.25,72.26
5,4,0.2200649231672287,92.4,77.17
5,5,0.1587533514946699,95.0,82.38
5,6,0.1532296741550619,95.57142857142856,88.08
5,7,0.145432518938413,95.375,87.28
5,8,0.1766770762701829,95.66666666666669,86.17
5,9,0.2046441109851002,93.9,85.49
5,10,0.1583628535477651,95.0909090909091,89.79
6,1,1.7448783218860626,33.0,46.72
6,2,0.6654653906822204,79.33333333333333,57.46
6,3,0.3539610249655587,90.5,72.96
6,4,0.3038642629981041,89.8,63.79
6,5,0.2480860508978367,93.16666666666669,82.5
6,6,0.1690420129082419,94.14285714285714,83.66
6,7,0.0739319517921942,97.75,89.46
6,8,0.2078622986252109,97.66666666666669,90.38
6,9,0.1858237450942397,94.4,89.37
6,10,0.1908588624662823,95.54545454545456,88.15
7,1,1.6969091892242432,36.5,31.43
7,2,0.6799399971961975,78.66666666666667,44.14
7,3,0.3236029957021986,88.5,64.15
7,4,0.2418233044445514,92.0,81.43
7,5,0.1327894832938909,96.33333333333331,83.39
7,6,0.1476765451106158,95.42857142857144,86.16
7,7,0.1580205198663931,95.875,89.46
7,8,0.2936947974065939,96.55555555555556,90.17
7,9,0.1326188629027456,95.8,80.59
7,10,0.1613498692297273,95.9090909090909,90.68
8,1,1.666975200176239,38.0,38.27
8,2,0.6224802613258362,80.0,45.37
8,3,0.3453926656927381,90.25,68.33
8,4,0.3024768885225057,91.4,85.72
8,5,0.1970758274197578,94.16666666666669,84.61
8,6,0.1534693681380965,95.85714285714286,91.0
8,7,0.1632363978200234,95.75,89.15
8,8,0.4307855038593213,95.0,90.23
8,9,0.2251319398637861,93.1,88.66
8,10,0.1118088585014144,96.0909090909091,93.36
9,1,1.869284749031067,33.5,31.33
9,2,0.6539899468421936,81.33333333333333,64.16
9,3,0.2232566454580851,92.75,75.13
9,4,0.2272837245836854,91.6,72.3
9,5,0.1594961501657962,94.83333333333331,78.2
9,6,0.1316221756013957,95.71428571428572,87.67
9,7,0.1203368576959921,96.5,90.35
9,8,0.1929040213425954,96.66666666666669,87.79
9,9,0.2346126623451709,93.4,82.62
9,10,0.1620928247769673,94.9090909090909,84.8
10,1,1.873460292816162,30.0,17.98
10,2,0.6791787981987,77.33333333333333,59.18
10,3,0.3633927000420434,90.25,65.27
10,4,0.2259497363120317,93.4,80.67
10,5,0.1991505838930606,94.66666666666669,81.78
10,6,0.1433168548074635,94.57142857142856,80.63
10,7,0.1833677879319741,96.5,90.21
10,8,0.2495906564096609,94.66666666666669,89.79
10,9,0.1249222662299871,96.0,89.93
10,10,0.1347007679028643,96.1818181818182,92.59
